idx,FIPS,new_cases_7_day_average,new_deaths_7_day_average,population
0,1001.0,48.42857142857143,0.14285714285714285,55869.0
1,1003.0,155.28571428571428,0.0,223234.0
2,1005.0,7.428571428571429,0.0,24686.0
3,1007.0,26.714285714285715,0.0,22394.0
4,1009.0,65.0,0.42857142857142855,57826.0
5,1011.0,2.0,0.0,10101.0
6,1013.0,10.714285714285714,0.2857142857142857,19448.0
7,1015.0,95.14285714285714,0.42857142857142855,113605.0
8,1017.0,13.571428571428571,0.42857142857142855,33254.0
9,1019.0,12.571428571428571,0.0,26196.0
10,1021.0,20.571428571428573,0.0,44428.0
11,1023.0,1.8571428571428572,0.0,12589.0
12,1025.0,57.42857142857143,0.14285714285714285,23622.0
13,1027.0,5.0,0.14285714285714285,13235.0
14,1029.0,7.857142857142857,0.14285714285714285,14910.0
15,1031.0,34.714285714285715,0.0,52342.0
16,1033.0,48.142857142857146,0.42857142857142855,55241.0
17,1035.0,3.5714285714285716,0.0,12067.0
18,1037.0,4.285714285714286,0.0,10663.0
19,1039.0,21.142857142857142,0.0,37049.0
20,1041.0,5.285714285714286,0.14285714285714285,13772.0
21,1043.0,76.0,0.7142857142857143,83768.0
22,1045.0,35.57142857142857,0.0,49172.0
23,1047.0,13.285714285714286,0.0,37196.0
24,1049.0,70.71428571428571,0.42857142857142855,71513.0
25,1051.0,65.42857142857143,0.5714285714285714,81209.0
26,1053.0,15.285714285714286,0.0,36633.0
27,1055.0,97.85714285714286,1.2857142857142858,102268.0
28,1057.0,16.571428571428573,0.0,16302.0
29,1059.0,23.0,0.0,31362.0
30,1061.0,12.0,0.5714285714285714,26271.0
31,1063.0,9.142857142857142,0.2857142857142857,8111.0
32,1065.0,14.571428571428571,0.14285714285714285,14651.0
33,1067.0,9.857142857142858,0.14285714285714285,17205.0
34,1069.0,54.857142857142854,0.7142857142857143,105882.0
35,1071.0,58.857142857142854,0.5714285714285714,51626.0
36,1073.0,604.2857142857143,5.142857142857143,658573.0
37,1075.0,14.428571428571429,0.14285714285714285,13805.0
38,1077.0,68.28571428571429,0.5714285714285714,92729.0
39,1079.0,23.428571428571427,0.14285714285714285,32924.0
40,1081.0,79.85714285714286,0.2857142857142857,164542.0
41,1083.0,78.85714285714286,0.14285714285714285,98915.0
42,1085.0,3.5714285714285716,0.0,9726.0
43,1087.0,6.857142857142857,0.2857142857142857,18068.0
44,1089.0,268.42857142857144,0.2857142857142857,372909.0
45,1091.0,26.142857142857142,0.14285714285714285,18863.0
46,1093.0,18.714285714285715,0.7142857142857143,29709.0
47,1095.0,81.57142857142857,0.7142857142857143,96774.0
48,1097.0,175.85714285714286,0.8571428571428571,413210.0
49,1099.0,8.285714285714286,-0.14285714285714285,20733.0
50,1101.0,126.28571428571429,2.0,226486.0
51,1103.0,118.28571428571429,0.7142857142857143,119679.0
52,80001.0,0.0,0.0,
53,1105.0,5.0,0.2857142857142857,8923.0
54,1107.0,15.857142857142858,0.2857142857142857,19930.0
55,1109.0,10.714285714285714,0.14285714285714285,33114.0
56,1111.0,4.714285714285714,0.8571428571428571,22722.0
57,1113.0,15.857142857142858,0.14285714285714285,57961.0
58,1117.0,157.42857142857142,1.2857142857142858,217702.0
59,1115.0,64.71428571428571,0.7142857142857143,89512.0
60,1119.0,9.142857142857142,0.0,12427.0
61,1121.0,52.285714285714285,0.2857142857142857,79978.0
62,1123.0,14.571428571428571,0.14285714285714285,40367.0
63,1125.0,186.28571428571428,1.0,209355.0
64,90001.0,0.0,0.0,
65,1127.0,50.142857142857146,0.42857142857142855,63521.0
66,1129.0,9.714285714285714,0.14285714285714285,16326.0
67,1131.0,16.142857142857142,0.14285714285714285,10373.0
68,1133.0,17.142857142857142,0.0,23629.0
69,2013.0,-0.42857142857142855,0.0,
70,2016.0,2.142857142857143,0.0,
71,2020.0,237.71428571428572,2.7142857142857144,
72,2050.0,24.428571428571427,0.14285714285714285,
73,2060.0,0.0,0.0,
74,2164.0,0.5714285714285714,0.0,
75,2068.0,1.2857142857142858,0.0,
76,2070.0,0.8571428571428571,0.0,
77,2090.0,74.42857142857143,0.2857142857142857,
78,2100.0,0.2857142857142857,0.0,
79,2105.0,0.0,0.0,
80,2110.0,7.142857142857143,0.0,
81,2122.0,35.0,0.42857142857142855,
82,2130.0,1.2857142857142858,0.0,
83,2150.0,28.857142857142858,0.0,
84,2158.0,22.142857142857142,0.14285714285714285,
85,2170.0,65.0,0.42857142857142855,
86,2180.0,1.1428571428571428,0.0,
87,2185.0,16.714285714285715,0.14285714285714285,
88,2188.0,1.4285714285714286,0.0,
89,80002.0,0.0,0.0,
90,2195.0,-0.14285714285714285,0.0,
91,2198.0,0.7142857142857143,0.0,
92,2220.0,2.2857142857142856,0.0,
93,2230.0,0.5714285714285714,0.0,
94,2240.0,4.428571428571429,0.14285714285714285,
95,90002.0,3.2857142857142856,0.0,
96,2261.0,2.142857142857143,0.0,
97,2275.0,0.0,0.0,
98,2282.0,0.2857142857142857,0.14285714285714285,
99,2290.0,1.0,0.14285714285714285,
100,60.0,0.0,0.0,
101,4001.0,89.71428571428571,1.7142857142857142,71887.0
102,4003.0,103.42857142857143,1.1428571428571428,125922.0
103,4005.0,132.0,1.1428571428571428,143476.0
104,4007.0,52.57142857142857,1.2857142857142858,54018.0
105,4009.0,35.142857142857146,0.42857142857142855,38837.0
106,4011.0,5.857142857142857,0.0,9498.0
107,4012.0,14.285714285714286,0.14285714285714285,21108.0
108,4013.0,3767.5714285714284,31.428571428571427,4485414.0
